date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2016-07-01 00:00:00,6.359686001412578,1.8655983025141527,2.3653745798701933,0.486324998666981,4.19600568915085,1.3784415473060319,30.834746823640042
2016-07-01 01:00:00,5.642626616617607,2.1111994846842976,1.9219048178198015,0.42184584657811103,4.16820266982846,1.400923212895343,27.25286628534347
2016-07-01 02:00:00,5.293906650749484,1.8570007474312415,1.5091300080604941,0.33351468347136726,3.854909467761001,1.1953687746341675,27.38490630577233
2016-07-01 03:00:00,6.072110045367564,1.982764145274206,1.7900806830033007,0.5201012305266777,3.7242989061442233,1.2799136015031962,25.333286068377653
2016-07-01 04:00:00,5.471538807640038,2.214506583871715,1.7006918596291398,0.47317831687231976,3.8506776988280036,1.2965682457512824,21.709364979103245
2016-07-01 05:00:00,6.093906228685481,2.2482966079032507,2.0545623965223365,0.554986536916586,3.961170508474941,1.3897546960560216,21.144111635999057
2016-07-01 06:00:00,7.460585967925078,2.944643460999504,2.5871118862429263,0.6787217409104578,5.0746256822265785,1.9138909881495938,22.03563351072388
2016-07-01 07:00:00,7.718704214701969,3.3694399423727424,2.198507650461826,1.1779120404606442,5.100545797572241,2.2252470741849,22.71172942010113
2016-07-01 08:00:00,5.881964929984549,2.8664384668110725,2.3493929677133085,1.1419769524677872,2.958354453523123,1.4614727709810786,21.76552556900146
2016-07-01 09:00:00,4.404949171126731,2.5350379732454744,2.388599472577064,0.8499969703474812,2.708326837534637,1.3740036069746486,17.756616510385815
2016-07-01 10:00:00,5.2900452604752175,2.498713056962754,1.9556570092043564,0.7723929397046662,2.9762372480840584,1.4824222774546596,19.34987953474545
2016-07-01 11:00:00,5.322201039009111,2.7991143668409,1.7769176569949043,0.9149007149992214,3.5519442441987614,1.429430515512736,19.395591374946964
2016-07-01 12:00:00,4.935064273571734,2.4908269992652654,1.723655452536118,0.8625960327816448,2.8872254806282722,1.5110277192745938,19.3500425465539
2016-07-01 13:00:00,4.58710642988354,2.709900103572234,2.0942015816408195,1.244194621403053,3.240234676328964,1.6265519242294133,18.411926730550796
2016-07-01 14:00:00,5.151312802506364,3.036806222840775,2.66996075640226,1.3447878919292342,2.584179143854457,1.4093489301943076,19.88363799959043
2016-07-01 15:00:00,5.045959304526269,3.054489676108562,1.9828582379313602,1.2733351780154698,2.5823539149629573,1.5232304922297277,17.325748391114107
2016-07-01 16:00:00,4.363464360924781,2.412234571458397,1.8189254848675387,0.950521623316694,2.655421683102818,1.483640944642909,19.52338668270961
2016-07-01 17:00:00,4.948172459581896,2.3020242460858165,2.3208735149694135,0.5279769318675387,3.1872934692815758,1.5028965271730075,19.75334789901095
2016-07-01 18:00:00,5.593623489014449,2.9477845244387386,2.4319077042968806,1.184640122891684,3.014682828191531,1.5220842728294206,20.16014978027294
2016-07-01 19:00:00,5.509042398151787,3.1037448118762327,2.4993488206301953,1.0982143318658724,2.9916264872300182,1.557403509598624,17.87139453360843
2016-07-01 20:00:00,5.4903718816987634,3.0328595579195103,2.2255049174627017,1.1417154827285267,2.8803507267982,1.4815231263558288,17.390346196125524
2016-07-01 21:00:00,5.7467951539391535,3.018739679045523,1.873097456763127,1.2026442105667126,2.730915121038354,1.5156896195976046,18.30956957921884
2016-07-01 22:00:00,5.216501908051946,2.9023397808009004,1.1511674754142531,1.1069210088192758,2.6368670974708657,1.5362198624092498,17.955709376331622
2016-07-01 23:00:00,4.116385014645374,2.986111621333789,2.4907902983844568,1.048024597788048,2.4742305580132173,1.4937127085602422,19.73882027525082
2016-07-02 00:00:00,5.062572136068603,2.8964272935238307,2.447816517467073,1.247170951242554,2.4232880888775985,1.5407574368062216,21.0410630577934
